TYPE,NAME,DESCRIPTION,SOURCE,UPSTREAM
P,cmus,,,
P,docker,,,
P,autorandr,,,
P,arandr,,,
P,autorandr,,,
P,audacity,,,
P,zsh,,,
A.google-chrome-stable,,,
A,discord,,,
